"","from","to"
"1","none","none"
"2","most","most"
"3","some","some"
"4","a lot","a lot"
"5","a lot ","a lot"
"6","more","more"
"7","a few","a few"
"8","all","all"
"9","a lot of","a lot of"
"10","about half","about half"
"11","half","half"
"12","nearly all","nearly all"
"13","alll","all"
"14","many","many"
"15","three","number"
"16","more than half","more than half"
"17","few","few"
"18","part","part"
"19","a small portion","a small portion"
"20","almost all","almost all"
"21","a large part","a large part"
"22","and a large part","a large part"
"23","most ","most"
"24","larger portion","larger portion"
"25","a good amount","a good amount"
"26","a smaller amount","a smaller amount"
"27","slightly fewer","slightly fewer"
"28","75%","percentage"
"29","nearly half","nearly half"
"30","all but three","all but three"
"31","the same number","the same number"
"32","a little","a little"
"33","a little ","a little"
"34","barely any","barely any"
"35","a quarter","a quarter"
"36","three quarters","three quarters"
"37","a third","a third"
"38","two thirds","two thirds"
"39","a fifth","a fifth"
"40","an eighth","an eighth"
"41","two-thirds","two thirds"
"42","blue","spam"
"43","over half","over half"
"44","almost half","almost half"
"45","20","number"
"46","15","number"
"47","10","number"
"48","som","some"
"49","little","little"
"50"," a few","a few"
"51","few ","few"
"52","All","all"
"53","Some","some"
"54","Few","few"
"55","None","none"
"56","Most","most"
"57","Moat","most"
"58","Miat","most"
"59","Half","half"
"60","less then half","less than half"
"61","less than half","less than half"
"62","eight","number"
"63","alot","a lot"
"64","SOME","some"
"65","NONE","none"
"66","ALL","all"
"67"," a couple","a couple"
"68","a couple","a couple"
"69","about a quarter","about a quarter"
"70","several","several"
"71","13","number"
"72","17","number"
"73","12","number"
"74","50","number"
"75","47","number"
"76","31","number"
"77","32","number"
"78","46","number"
"79","27","number"
"80","34","number"
"81","41","number"
"82","11","number"
"83","21","number"
"84","14","number"
"85","28","number"
"86","19","number"
"87","feew","few"
"88","less","less"
"89","fewer","fewer"
"90","a bit","a bit"
"91","full","full"
"92","partial","partial"
"93","half ","half "
"94","some ","some"
"95","left","spam"
"96","right","spam"
"97","minimam","spam"
"98","small","spam"
"99","no","spam"
"100","same","same"
"101","more than","more than"
"102","18","number"
"103","22","number"
"104","a handful","a handful"
"105","handful","a handful"
"106","two","number"
"107","third","number"
"108","quarter","quarter"
"109","hlaf","half"
"110","somr","some"
"111","25","number"
"112","23","number"
"113","all ","all"
"114"," some","some"
"115","an","spam"
"116","alot ","a lot"
"117","a bunch","a bunch"
"118","a majority","a majority"
"119","orange","spam"
"120","yes","spam"
"121","pots","spam"
"122","pot","spam"
"123","zero","number"
"124","all but 6","all but 6"
"125","five","number"
"126","six","number"
"127","lots","lots"
"128","sixteen","number"
"129","ten","number"
"130","eleven","number"
"131","fifteen","number"
"132","twelve","number"
"133","eighteen","number"
"134","nineteen","number"
"135","twenty","number"
"136","seventeen","number"
"137","a couple ","a couple"
"138","a little more than a few","a little more than a few"
"139","a little less than half","a little less than half"
"140","a tiny more than a few","a tiny more than a few"
"141","30","number"
"142","00","number"
"143","03","number"
"144","26","number"
"145","24","number"
"146","29","number"
"147","60%","percentage"
"148","90%","percentage"
"149","80%","percentage"
"150","85%","percentage"
"151","5%","percentage"
"152","40%","percentage"
"153","15%","percentage"
"154","95%","percentage"
"155","seven","number"
"156","67","number"
"157","54","number"
"158","33","number"
"159","120","number"
"160","43","number"
"161","yellow","spam"
"162","almost all of yellow","spam"
"163","and all ","all"
"164","much of yellow","spam"
"165","little ","little"
"166","much of ","much"
"167","almost all ","almost all"
"168","much ","much"
"169","a good bit","a good bit"
"170","A few","a few"
"171","Most ","most "
"172","Some ","some "
