color,description,proportion,workerid,Answer.condition,Answer.time_in_minutes,Answer.misread_instructions
orange,some,25,0,probably,3.40035,undefined
blue,all,100,0,probably,3.40035,undefined
blue,all,100,0,probably,3.40035,undefined
orange,half,50,0,probably,3.40035,undefined
blue,most,90,0,probably,3.40035,undefined
orange,half,50,0,probably,3.40035,undefined
blue,none,0,0,probably,3.40035,undefined
orange,a few,25,0,probably,3.40035,undefined
blue,most,75,0,probably,3.40035,undefined
orange,most,75,0,probably,3.40035,undefined
blue,half,50,0,probably,3.40035,undefined
orange,half,50,0,probably,3.40035,undefined
blue,most,75,0,probably,3.40035,undefined
orange,all,100,0,probably,3.40035,undefined
blue,all,100,0,probably,3.40035,undefined
orange,none,0,0,probably,3.40035,undefined
blue,all,100,0,probably,3.40035,undefined
orange,a few,10,0,probably,3.40035,undefined
orange,most,60,0,probably,3.40035,undefined
blue,a few,25,0,probably,3.40035,undefined
orange,all,100,0,probably,3.40035,undefined
blue,most,90,0,probably,3.40035,undefined
orange,a few,10,0,probably,3.40035,undefined
blue,half,50,0,probably,3.40035,undefined
orange,none,0,0,probably,3.40035,undefined
blue,most,60,0,probably,3.40035,undefined
orange,a few,10,0,probably,3.40035,undefined
blue,a few,10,0,probably,3.40035,undefined
blue,most,60,0,probably,3.40035,undefined
orange,half,40,0,probably,3.40035,undefined
orange,all,25,1,probably,5.7094,undefined
blue,none,100,1,probably,5.7094,undefined
blue,all,50,1,probably,5.7094,undefined
orange,all,25,1,probably,5.7094,undefined
blue,all,50,1,probably,5.7094,undefined
orange,all,25,1,probably,5.7094,undefined
blue,none,100,1,probably,5.7094,undefined
orange,noe,90,1,probably,5.7094,undefined
blue,none,90,1,probably,5.7094,undefined
orange,all,40,1,probably,5.7094,undefined
blue,all,0,1,probably,5.7094,undefined
orange,none,75,1,probably,5.7094,undefined
blue,none,90,1,probably,5.7094,undefined
orange,none,90,1,probably,5.7094,undefined
orange,none,50,1,probably,5.7094,undefined
blue,all,0,1,probably,5.7094,undefined
blue,all,100,1,probably,5.7094,undefined
orange,none,75,1,probably,5.7094,undefined
blue,none,60,1,probably,5.7094,undefined
orange,none,60,1,probably,5.7094,undefined
blue,none,75,1,probably,5.7094,undefined
orange,all,50,1,probably,5.7094,undefined
blue,none,0,1,probably,5.7094,undefined
orange,noe,25,1,probably,5.7094,undefined
blue,none,25,1,probably,5.7094,undefined
orange,none,25,1,probably,5.7094,undefined
blue,all,100,1,probably,5.7094,undefined
orange,none,0,1,probably,5.7094,undefined
orange,all,100,1,probably,5.7094,undefined
blue,all,100,1,probably,5.7094,undefined
orange,some,10,2,probably,5.324966666666667,undefined
blue,all,100,2,probably,5.324966666666667,undefined
blue,some,75,2,probably,5.324966666666667,undefined
orange,some,40,2,probably,5.324966666666667,undefined
blue,all,100,2,probably,5.324966666666667,undefined
orange,some,75,2,probably,5.324966666666667,undefined
orange,some,25,2,probably,5.324966666666667,undefined
blue,some,0,2,probably,5.324966666666667,undefined
blue,most,90,2,probably,5.324966666666667,undefined
orange,most,90,2,probably,5.324966666666667,undefined
orange,none,0,2,probably,5.324966666666667,undefined
blue,some,10,2,probably,5.324966666666667,undefined
blue,none,0,2,probably,5.324966666666667,undefined
orange,some,40,2,probably,5.324966666666667,undefined
blue,some,50,2,probably,5.324966666666667,undefined
orange,some,50,2,probably,5.324966666666667,undefined
blue,some,60,2,probably,5.324966666666667,undefined
orange,most,90,2,probably,5.324966666666667,undefined
orange,most,75,2,probably,5.324966666666667,undefined
blue,some,60,2,probably,5.324966666666667,undefined
orange,some,25,2,probably,5.324966666666667,undefined
blue,all,100,2,probably,5.324966666666667,undefined
orange,all,100,2,probably,5.324966666666667,undefined
blue,some,50,2,probably,5.324966666666667,undefined
blue,some,50,2,probably,5.324966666666667,undefined
orange,some,25,2,probably,5.324966666666667,undefined
orange,some,25,2,probably,5.324966666666667,undefined
blue,some,60,2,probably,5.324966666666667,undefined
orange,some,60,2,probably,5.324966666666667,undefined
blue,some,60,2,probably,5.324966666666667,undefined
blue,none,0,3,probably,9.375966666666667,undefined
orange,half,60,3,probably,9.375966666666667,undefined
blue,half,60,3,probably,9.375966666666667,undefined
orange,few,10,3,probably,9.375966666666667,undefined
blue,half,50,3,probably,9.375966666666667,undefined
orange,half,50,3,probably,9.375966666666667,undefined
orange,all,100,3,probably,9.375966666666667,undefined
blue,most,75,3,probably,9.375966666666667,undefined
orange,half,40,3,probably,9.375966666666667,undefined
blue,half,40,3,probably,9.375966666666667,undefined
blue,most,90,3,probably,9.375966666666667,undefined
orange,half,40,3,probably,9.375966666666667,undefined
orange,few,25,3,probably,9.375966666666667,undefined
blue,most,60,3,probably,9.375966666666667,undefined
orange,most,60,3,probably,9.375966666666667,undefined
blue,most,75,3,probably,9.375966666666667,undefined
blue,few,10,3,probably,9.375966666666667,undefined
orange,few,10,3,probably,9.375966666666667,undefined
blue,half,60,3,probably,9.375966666666667,undefined
orange,all,100,3,probably,9.375966666666667,undefined
orange,half,40,3,probably,9.375966666666667,undefined
blue,half,50,3,probably,9.375966666666667,undefined
blue,half,50,3,probably,9.375966666666667,undefined
orange,none,0,3,probably,9.375966666666667,undefined
blue,all,100,3,probably,9.375966666666667,undefined
orange,half,50,3,probably,9.375966666666667,undefined
orange,none,0,3,probably,9.375966666666667,undefined
blue,few,10,3,probably,9.375966666666667,undefined
blue,half,40,3,probably,9.375966666666667,undefined
orange,all,100,3,probably,9.375966666666667,undefined
orange,none,0,4,probably,2.850216666666667,undefined
blue,most,90,4,probably,2.850216666666667,undefined
blue,some,25,4,probably,2.850216666666667,undefined
orange,most,60,4,probably,2.850216666666667,undefined
blue,none,0,4,probably,2.850216666666667,undefined
orange,some,40,4,probably,2.850216666666667,undefined
orange,half,50,4,probably,2.850216666666667,undefined
blue,most,90,4,probably,2.850216666666667,undefined
blue,all,100,4,probably,2.850216666666667,undefined
orange,some,25,4,probably,2.850216666666667,undefined
orange,some,25,4,probably,2.850216666666667,undefined
blue,some,25,4,probably,2.850216666666667,undefined
orange,most,75,4,probably,2.850216666666667,undefined
blue,half,40,4,probably,2.850216666666667,undefined
blue,none,0,4,probably,2.850216666666667,undefined
orange,most,60,4,probably,2.850216666666667,undefined
