color,Answer.misread_instructions,description,workerid,Answer.time_in_minutes,Answer.condition,proportion
blue,,none,0,3.7038,,0
orange,,most,0,3.7038,,90
blue,,some,0,3.7038,,10
orange,,most,0,3.7038,,60
blue,,a lot,0,3.7038,,75
orange,,a lot ,0,3.7038,,75
blue,,more,0,3.7038,,75
orange,,some,0,3.7038,,60
blue,,a lot,0,3.7038,,90
orange,,some,0,3.7038,,50
blue,,a lot ,0,3.7038,,90
orange,,some,0,3.7038,,40
blue,,some,0,3.7038,,50
orange,,some,0,3.7038,,60
blue,,a few,0,3.7038,,25
orange,,a few,0,3.7038,,25
blue,,all,0,3.7038,,100
orange,,all,0,3.7038,,100
blue,,some,0,3.7038,,40
orange,,some,0,3.7038,,40
blue,,some,0,3.7038,,60
orange,,some,0,3.7038,,60
blue,,more,0,3.7038,,40
orange,,some,0,3.7038,,25
blue,,most,0,3.7038,,75
orange,,all,0,3.7038,,100
blue,,all,0,3.7038,,100
orange,,some,0,3.7038,,25
blue,,all,0,3.7038,,100
orange,,most,0,3.7038,,90
blue,,most,1,4.36735,,75
orange,,some,1,4.36735,,40
blue,,all,1,4.36735,,100
orange,,some,1,4.36735,,50
blue,,all,1,4.36735,,100
orange,,most,1,4.36735,,75
blue,,some,1,4.36735,,50
orange,,some,1,4.36735,,10
blue,,some,1,4.36735,,40
orange,,some,1,4.36735,,50
blue,,some,1,4.36735,,50
orange,,some,1,4.36735,,50
blue,,all,1,4.36735,,100
orange,,some,1,4.36735,,25
blue,,some,1,4.36735,,40
orange,,some,1,4.36735,,60
blue,,most,1,4.36735,,75
orange,,most,1,4.36735,,75
blue,,most,1,4.36735,,75
orange,,some,1,4.36735,,60
blue,,some,1,4.36735,,40
orange,,some,1,4.36735,,40
blue,,some,1,4.36735,,40
orange,,none,1,4.36735,,0
blue,,some,1,4.36735,,50
orange,,some,1,4.36735,,60
blue,,most,1,4.36735,,90
orange,,most,1,4.36735,,90
blue,,some,1,4.36735,,25
orange,,some,1,4.36735,,40
orange,,some,2,7.351933333333333,,75
blue,,some,2,7.351933333333333,,40
orange,,some,2,7.351933333333333,,25
blue,,most,2,7.351933333333333,,100
orange,,some,2,7.351933333333333,,60
blue,,some,2,7.351933333333333,,40
orange,,most,2,7.351933333333333,,90
blue,,most,2,7.351933333333333,,90
orange,,most,2,7.351933333333333,,60
blue,,most,2,7.351933333333333,,60
orange,,most,2,7.351933333333333,,75
blue,,most,2,7.351933333333333,,60
orange,,some,2,7.351933333333333,,50
blue,,none,2,7.351933333333333,,0
orange,,most,2,7.351933333333333,,60
blue,,some,2,7.351933333333333,,50
orange,,none,2,7.351933333333333,,0
blue,,all,2,7.351933333333333,,100
orange,,most,2,7.351933333333333,,60
blue,,all,2,7.351933333333333,,100
orange,,most,2,7.351933333333333,,90
blue,,some,2,7.351933333333333,,50
orange,,some,2,7.351933333333333,,50
blue,,some,2,7.351933333333333,,10
orange,,some,2,7.351933333333333,,25
blue,,some,2,7.351933333333333,,40
orange,,some,2,7.351933333333333,,10
blue,,none,2,7.351933333333333,,0
orange,,all,2,7.351933333333333,,100
blue,,all,2,7.351933333333333,,100
blue,,some,3,2.8440833333333333,,50
orange,,some,3,2.8440833333333333,,25
blue,,none,3,2.8440833333333333,,0
orange,,a few,3,2.8440833333333333,,10
blue,,none,3,2.8440833333333333,,0
orange,,a lot,3,2.8440833333333333,,75
blue,,all,3,2.8440833333333333,,100
orange,,some,3,2.8440833333333333,,40
blue,,none,3,2.8440833333333333,,0
orange,,some,3,2.8440833333333333,,50
blue,,some,3,2.8440833333333333,,50
orange,,a lot,3,2.8440833333333333,,75
blue,,a lot of,3,2.8440833333333333,,60
orange,,some,3,2.8440833333333333,,25
blue,,most,3,2.8440833333333333,,90
orange,,all,3,2.8440833333333333,,100
blue,,a lot,3,2.8440833333333333,,60
orange,,none,3,2.8440833333333333,,0
blue,,most,3,2.8440833333333333,,90
orange,,none,3,2.8440833333333333,,0
blue,,most,3,2.8440833333333333,,90
orange,,some,3,2.8440833333333333,,50
blue,,most,3,2.8440833333333333,,75
orange,,most,3,2.8440833333333333,,75
blue,,all,3,2.8440833333333333,,100
orange,,some,3,2.8440833333333333,,50
blue,,none,3,2.8440833333333333,,0
orange,,about half,3,2.8440833333333333,,40
blue,,some,3,2.8440833333333333,,25
orange,,some,3,2.8440833333333333,,40
orange,,all,4,4.611483333333333,,100
blue,,some,4,4.611483333333333,,50
orange,,some,4,4.611483333333333,,90
blue,,all,4,4.611483333333333,,100
orange,,some,4,4.611483333333333,,75
blue,,some,4,4.611483333333333,,75
orange,,most,4,4.611483333333333,,75
blue,,some,4,4.611483333333333,,60
orange,,some,4,4.611483333333333,,25
blue,,some,4,4.611483333333333,,25
orange,,some,4,4.611483333333333,,10
blue,,some,4,4.611483333333333,,40
orange,,all,4,4.611483333333333,,100
blue,,some,4,4.611483333333333,,60
orange,,some,4,4.611483333333333,,10
blue,,none,4,4.611483333333333,,0
orange,,all,4,4.611483333333333,,100
blue,,none,4,4.611483333333333,,0
orange,,some,4,4.611483333333333,,50
blue,,none,4,4.611483333333333,,0
orange,,all,4,4.611483333333333,,100
blue,,all,4,4.611483333333333,,100
orange,,some,4,4.611483333333333,,25
blue,,some,4,4.611483333333333,,60
orange,,none,4,4.611483333333333,,0
blue,,most,4,4.611483333333333,,75
orange,,some,4,4.611483333333333,,10
blue,,some,4,4.611483333333333,,10
orange,,all,4,4.611483333333333,,100
blue,,some,4,4.611483333333333,,40
blue,,some,5,5.373766666666667,,40
orange,,half,5,5.373766666666667,,60
blue,,a lot,5,5.373766666666667,,60
orange,,most,5,5.373766666666667,,90
blue,,some,5,5.373766666666667,,25
orange,,all,5,5.373766666666667,,100
blue,,half,5,5.373766666666667,,60
orange,,all,5,5.373766666666667,,100
blue,,nearly all,5,5.373766666666667,,90
orange,,all,5,5.373766666666667,,100
blue,,half,5,5.373766666666667,,40
orange,,half,5,5.373766666666667,,40
blue,,alll,5,5.373766666666667,,100
orange,,all,5,5.373766666666667,,100
blue,,half,5,5.373766666666667,,50
orange,,most,5,5.373766666666667,,90
blue,,a few,5,5.373766666666667,,10
orange,,most,5,5.373766666666667,,50
blue,,most,5,5.373766666666667,,90
orange,,most,5,5.373766666666667,,90
blue,,half,5,5.373766666666667,,50
orange,,half,5,5.373766666666667,,50
blue,,half,5,5.373766666666667,,50
orange,,half,5,5.373766666666667,,40
blue,,a few,5,5.373766666666667,,10
orange,,none,5,5.373766666666667,,0
blue,,half,5,5.373766666666667,,40
orange,,some,5,5.373766666666667,,25
blue,,none,5,5.373766666666667,,0
orange,,half,5,5.373766666666667,,60
orange,,most,6,3.644216666666667,,90
blue,,some,6,3.644216666666667,,40
orange,,a few,6,3.644216666666667,,10
blue,,all,6,3.644216666666667,,100
orange,,many,6,3.644216666666667,,60
blue,,none,6,3.644216666666667,,0
orange,,all,6,3.644216666666667,,100
blue,,half,6,3.644216666666667,,50
orange,,some,6,3.644216666666667,,40
blue,,half,6,3.644216666666667,,50
orange,,some,6,3.644216666666667,,25
blue,,some,6,3.644216666666667,,25
orange,,all,6,3.644216666666667,,100
blue,,all,6,3.644216666666667,,100
orange,,none,6,3.644216666666667,,0
blue,,three,6,3.644216666666667,,10
orange,,most,6,3.644216666666667,,75
blue,,all,6,3.644216666666667,,100
orange,,some,6,3.644216666666667,,40
blue,,some,6,3.644216666666667,,25
orange,,all,6,3.644216666666667,,100
blue,,most,6,3.644216666666667,,60
orange,,none,6,3.644216666666667,,0
blue,,half,6,3.644216666666667,,40
orange,,some,6,3.644216666666667,,40
blue,,most,6,3.644216666666667,,75
orange,,all,6,3.644216666666667,,100
blue,,none,6,3.644216666666667,,0
orange,,more than half,6,3.644216666666667,,60
blue,,more than half,6,3.644216666666667,,60
blue,,all,7,4.01945,,90
orange,,none,7,4.01945,,40
blue,,all,7,4.01945,,50
orange,,none,7,4.01945,,0
blue,,none,7,4.01945,,60
orange,,all,7,4.01945,,100
blue,,none,7,4.01945,,25
orange,,none,7,4.01945,,60
blue,,none,7,4.01945,,75
orange,,none,7,4.01945,,75
blue,,none,7,4.01945,,50
orange,,none,7,4.01945,,40
blue,,none,7,4.01945,,75
orange,,none,7,4.01945,,60
blue,,none,7,4.01945,,40
orange,,none,7,4.01945,,100
blue,,none,7,4.01945,,90
orange,,all,7,4.01945,,100
blue,,none,7,4.01945,,25
orange,,none,7,4.01945,,25
blue,,none,7,4.01945,,10
orange,,all,7,4.01945,,10
blue,,none,7,4.01945,,40
orange,,none,7,4.01945,,75
blue,,none,7,4.01945,,40
orange,,none,7,4.01945,,25
blue,,all,7,4.01945,,100
orange,,all,7,4.01945,,100
blue,,none,7,4.01945,,50
orange,,none,7,4.01945,,50
orange,,some,8,12.270833333333334,,40
blue,,some,8,12.270833333333334,,10
orange,,some,8,12.270833333333334,,40
blue,,all,8,12.270833333333334,,100
orange,,some,8,12.270833333333334,,40
blue,,some,8,12.270833333333334,,50
orange,,all,8,12.270833333333334,,100
blue,,some,8,12.270833333333334,,10
orange,,some,8,12.270833333333334,,60
blue,,some,8,12.270833333333334,,75
orange,,all,8,12.270833333333334,,100
blue,,all,8,12.270833333333334,,100
orange,,some,8,12.270833333333334,,60
blue,,all,8,12.270833333333334,,100
orange,,some,8,12.270833333333334,,25
blue,,some,8,12.270833333333334,,25
orange,,none,8,12.270833333333334,,0
blue,,some,8,12.270833333333334,,40
orange,,some,8,12.270833333333334,,25
blue,,all,8,12.270833333333334,,100
orange,,some,8,12.270833333333334,,40
blue,,some,8,12.270833333333334,,40
orange,,none,8,12.270833333333334,,0
blue,,all,8,12.270833333333334,,50
orange,,some,8,12.270833333333334,,50
blue,,some,8,12.270833333333334,,50
orange,,most,8,12.270833333333334,,25
blue,,some,8,12.270833333333334,,50
orange,,most,8,12.270833333333334,,60
blue,,some,8,12.270833333333334,,40
orange,,some,9,2.6773666666666665,,40
blue,,some,9,2.6773666666666665,,40
orange,,some,9,2.6773666666666665,,40
blue,,most,9,2.6773666666666665,,90
orange,,all,9,2.6773666666666665,,100
blue,,most,9,2.6773666666666665,,75
orange,,most,9,2.6773666666666665,,90
blue,,some,9,2.6773666666666665,,50
orange,,some,9,2.6773666666666665,,60
blue,,some,9,2.6773666666666665,,75
orange,,some,9,2.6773666666666665,,60
blue,,some,9,2.6773666666666665,,60
orange,,some,9,2.6773666666666665,,60
blue,,most,9,2.6773666666666665,,90
orange,,some,9,2.6773666666666665,,50
blue,,some,9,2.6773666666666665,,40
orange,,some,9,2.6773666666666665,,60
blue,,few,9,2.6773666666666665,,10
orange,,all,9,2.6773666666666665,,100
blue,,few,9,2.6773666666666665,,10
orange,,some,9,2.6773666666666665,,60
blue,,some,9,2.6773666666666665,,25
orange,,some,9,2.6773666666666665,,50
blue,,some,9,2.6773666666666665,,50
orange,,some,9,2.6773666666666665,,40
blue,,some,9,2.6773666666666665,,25
orange,,some,9,2.6773666666666665,,40
blue,,some,9,2.6773666666666665,,75
orange,,some,9,2.6773666666666665,,25
blue,,some,9,2.6773666666666665,,25
orange,,none,10,4.752266666666666,,0
blue,,all,10,4.752266666666666,,100
orange,,some,10,4.752266666666666,,10
blue,,half,10,4.752266666666666,,50
orange,,none,10,4.752266666666666,,0
blue,,three,10,4.752266666666666,,10
orange,,most,10,4.752266666666666,,60
blue,,half,10,4.752266666666666,,40
orange,,half,10,4.752266666666666,,50
blue,,half,10,4.752266666666666,,40
orange,,none,10,4.752266666666666,,0
blue,,most,10,4.752266666666666,,90
orange,,some,10,4.752266666666666,,25
blue,,some,10,4.752266666666666,,25
orange,,most,10,4.752266666666666,,60
blue,,half,10,4.752266666666666,,25
orange,,half,10,4.752266666666666,,60
blue,,three,10,4.752266666666666,,10
orange,,all,10,4.752266666666666,,100
blue,,half,10,4.752266666666666,,40
orange,,most,10,4.752266666666666,,75
blue,,none,10,4.752266666666666,,0
orange,,most,10,4.752266666666666,,75
blue,,half,10,4.752266666666666,,50
orange,,three,10,4.752266666666666,,10
blue,,half,10,4.752266666666666,,40
orange,,most,10,4.752266666666666,,60
blue,,most,10,4.752266666666666,,60
orange,,three,10,4.752266666666666,,10
blue,,three,10,4.752266666666666,,10
blue,,part,11,5.993366666666667,,60
orange,,part,11,5.993366666666667,,60
blue,,most,11,5.993366666666667,,75
orange,,most,11,5.993366666666667,,75
blue,,all,11,5.993366666666667,,100
orange,,none,11,5.993366666666667,,0
blue,,none,11,5.993366666666667,,0
orange,,most,11,5.993366666666667,,90
blue,,none,11,5.993366666666667,,0
orange,,a small portion,11,5.993366666666667,,10
blue,,none,11,5.993366666666667,,0
orange,,a small portion,11,5.993366666666667,,25
blue,,part,11,5.993366666666667,,50
orange,,a small portion,11,5.993366666666667,,25
blue,,most,11,5.993366666666667,,90
orange,,most,11,5.993366666666667,,90
blue,,all,11,5.993366666666667,,100
orange,,most,11,5.993366666666667,,50
blue,,almost all,11,5.993366666666667,,90
orange,,all,11,5.993366666666667,,100
blue,,a large part,11,5.993366666666667,,75
orange,,and a large part,11,5.993366666666667,,60
blue,,half,11,5.993366666666667,,40
orange,,most ,11,5.993366666666667,,60
blue,,a few,11,5.993366666666667,,10
orange,,larger portion,11,5.993366666666667,,50
blue,,a good amount,11,5.993366666666667,,40
orange,,a smaller amount,11,5.993366666666667,,25
blue,,three,11,5.993366666666667,,10
orange,,three,11,5.993366666666667,,10
blue,,some,12,7.136933333333333,,60
orange,,none,12,7.136933333333333,,0
blue,,none,12,7.136933333333333,,0
orange,,all,12,7.136933333333333,,100
blue,,all,12,7.136933333333333,,100
orange,,most,12,7.136933333333333,,75
blue,,nearly all,12,7.136933333333333,,90
orange,,most,12,7.136933333333333,,50
blue,,half,12,7.136933333333333,,40
orange,,half,12,7.136933333333333,,40
blue,,most,12,7.136933333333333,,75
orange,,most,12,7.136933333333333,,40
blue,,none,12,7.136933333333333,,0
orange,,nearly all,12,7.136933333333333,,90
blue,,most,12,7.136933333333333,,75
orange,,slightly fewer,12,7.136933333333333,,60
blue,,half,12,7.136933333333333,,40
orange,,half,12,7.136933333333333,,60
blue,,half,12,7.136933333333333,,60
orange,,half,12,7.136933333333333,,60
blue,,75%,12,7.136933333333333,,60
orange,,75%,12,7.136933333333333,,50
blue,,nearly half,12,7.136933333333333,,40
orange,,all,12,7.136933333333333,,100
blue,,a few,12,7.136933333333333,,25
orange,,a few,12,7.136933333333333,,25
blue,,all but three,12,7.136933333333333,,90
orange,,the same number,12,7.136933333333333,,90
blue,,half,12,7.136933333333333,,50
orange,,none,12,7.136933333333333,,0
blue,,none,13,2.767916666666667,,0
orange,,some,13,2.767916666666667,,60
blue,,all,13,2.767916666666667,,75
orange,,some,13,2.767916666666667,,40
blue,,a little,13,2.767916666666667,,25
orange,,some,13,2.767916666666667,,40
blue,,a little,13,2.767916666666667,,25
orange,,a little ,13,2.767916666666667,,25
blue,,barely any,13,2.767916666666667,,10
orange,,barely any,13,2.767916666666667,,10
blue,,some,13,2.767916666666667,,50
orange,,some,13,2.767916666666667,,50
blue,,a little,13,2.767916666666667,,25
orange,,some,13,2.767916666666667,,50
blue,,some,13,2.767916666666667,,60
orange,,most,13,2.767916666666667,,90
blue,,most,13,2.767916666666667,,90
orange,,all,13,2.767916666666667,,100
blue,,all,13,2.767916666666667,,100
orange,,all,13,2.767916666666667,,100
blue,,most,13,2.767916666666667,,90
orange,,most,13,2.767916666666667,,90
blue,,some,13,2.767916666666667,,40
orange,,none,13,2.767916666666667,,0
blue,,some,13,2.767916666666667,,40
orange,,all,13,2.767916666666667,,100
blue,,some,13,2.767916666666667,,60
orange,,a little,13,2.767916666666667,,25
blue,,some,13,2.767916666666667,,60
orange,,some,13,2.767916666666667,,50
blue,,some,14,3.03315,,90
orange,,none,14,3.03315,,0
blue,,some,14,3.03315,,60
orange,,some,14,3.03315,,60
blue,,half,14,3.03315,,40
orange,,half,14,3.03315,,50
blue,,all,14,3.03315,,100
orange,,half,14,3.03315,,40
blue,,some,14,3.03315,,25
orange,,half,14,3.03315,,50
blue,,none,14,3.03315,,0
orange,,half,14,3.03315,,50
blue,,all,14,3.03315,,100
orange,,all,14,3.03315,,100
blue,,some,14,3.03315,,40
orange,,some,14,3.03315,,40
blue,,a quarter,14,3.03315,,40
orange,,a quarter,14,3.03315,,25
blue,,all,14,3.03315,,100
orange,,a few,14,3.03315,,10
blue,,half,14,3.03315,,40
orange,,none,14,3.03315,,0
blue,,three quarters,14,3.03315,,60
orange,,some,14,3.03315,,25
blue,,some,14,3.03315,,25
orange,,all,14,3.03315,,100
blue,,most,14,3.03315,,50
orange,,most,14,3.03315,,75
blue,,some,14,3.03315,,40
orange,,a few,14,3.03315,,10
orange,,a few,15,10.493416666666667,,10
blue,,about half,15,10.493416666666667,,40
orange,,a quarter,15,10.493416666666667,,40
blue,,all,15,10.493416666666667,,100
orange,,all,15,10.493416666666667,,100
blue,,a few,15,10.493416666666667,,10
orange,,none,15,10.493416666666667,,0
blue,,a quarter,15,10.493416666666667,,40
orange,,a few,15,10.493416666666667,,10
blue,,half,15,10.493416666666667,,60
orange,,half,15,10.493416666666667,,50
blue,,half,15,10.493416666666667,,50
orange,,a third,15,10.493416666666667,,40
blue,,half,15,10.493416666666667,,50
orange,,most,15,10.493416666666667,,75
blue,,none,15,10.493416666666667,,0
orange,,most,15,10.493416666666667,,75
blue,,half,15,10.493416666666667,,50
orange,,two thirds,15,10.493416666666667,,60
blue,,half,15,10.493416666666667,,40
orange,,half,15,10.493416666666667,,50
blue,,all,15,10.493416666666667,,100
orange,,all,15,10.493416666666667,,100
blue,,none,15,10.493416666666667,,0
orange,,most,15,10.493416666666667,,90
blue,,a quarter,15,10.493416666666667,,40
orange,,none,15,10.493416666666667,,0
blue,,two thirds,15,10.493416666666667,,60
orange,,a fifth,15,10.493416666666667,,25
blue,,a fifth,15,10.493416666666667,,25
orange,,an eighth,16,5.15885,,25
blue,,a quarter,16,5.15885,,40
orange,,half,16,5.15885,,50
blue,,two-thirds,16,5.15885,,50
orange,,most,16,5.15885,,60
blue,,a few,16,5.15885,,10
orange,,most,16,5.15885,,90
blue,,most,16,5.15885,,90
orange,,two thirds,16,5.15885,,60
blue,,a quarter,16,5.15885,,25
orange,,half,16,5.15885,,50
blue,,a third,16,5.15885,,60
orange,,most,16,5.15885,,90
blue,,two thirds,16,5.15885,,60
orange,,some,16,5.15885,,25
blue,,some,16,5.15885,,25
orange,,all,16,5.15885,,100
blue,,half,16,5.15885,,50
orange,,most,16,5.15885,,75
blue,,none,16,5.15885,,0
orange,,a few,16,5.15885,,10
blue,,half,16,5.15885,,50
orange,,a few,16,5.15885,,10
blue,,a few,16,5.15885,,10
orange,,all,16,5.15885,,100
blue,,most,16,5.15885,,90
orange,,half,16,5.15885,,50
blue,,a third,16,5.15885,,40
orange,,all,16,5.15885,,100
blue,,none,16,5.15885,,0
orange,,none,17,23.80095,,0
blue,,most,17,23.80095,,75
orange,,most,17,23.80095,,60
blue,,some,17,23.80095,,25
orange,,some,17,23.80095,,10
blue,,some,17,23.80095,,10
orange,,few,17,23.80095,,25
blue,,none,17,23.80095,,0
orange,,none,17,23.80095,,0
blue,,most,17,23.80095,,90
orange,,some,17,23.80095,,50
blue,,none,17,23.80095,,0
orange,,some,17,23.80095,,40
blue,,some,17,23.80095,,25
orange,,most,17,23.80095,,75
blue,,some,17,23.80095,,40
orange,,some,17,23.80095,,40
blue,,most,17,23.80095,,100
orange,,some,17,23.80095,,40
blue,,most,17,23.80095,,100
orange,,some,17,23.80095,,40
blue,,most,17,23.80095,,0
orange,,all,17,23.80095,,100
blue,,some,17,23.80095,,60
orange,,most,17,23.80095,,75
blue,,most,17,23.80095,,75
orange,,most,17,23.80095,,90
blue,,most,17,23.80095,,90
orange,,none,17,23.80095,,0
blue,,some,17,23.80095,,10
blue,,some,18,6.645816666666667,,50
orange,,all,18,6.645816666666667,,10
blue,,half,18,6.645816666666667,,50
orange,,half,18,6.645816666666667,,50
blue,,some,18,6.645816666666667,,40
orange,,all,18,6.645816666666667,,100
blue,,some,18,6.645816666666667,,25
orange,,none,18,6.645816666666667,,0
blue,,some,18,6.645816666666667,,10
orange,,half,18,6.645816666666667,,60
blue,,some,18,6.645816666666667,,60
orange,,all,18,6.645816666666667,,100
blue,,some,18,6.645816666666667,,60
orange,,all,18,6.645816666666667,,90
blue,,three,18,6.645816666666667,,10
orange,,three,18,6.645816666666667,,10
blue,,some,18,6.645816666666667,,75
orange,,some,18,6.645816666666667,,75
blue,,some,18,6.645816666666667,,90
orange,,none,18,6.645816666666667,,0
blue,,half,18,6.645816666666667,,40
orange,,half,18,6.645816666666667,,40
blue,,some,18,6.645816666666667,,50
orange,,none,18,6.645816666666667,,0
blue,,some,18,6.645816666666667,,50
orange,,all,18,6.645816666666667,,90
blue,,some,18,6.645816666666667,,75
orange,,all,18,6.645816666666667,,100
blue,,most,18,6.645816666666667,,90
orange,,most,18,6.645816666666667,,90
blue,,all,19,4.825733333333333,,100
orange,,most,19,4.825733333333333,,90
blue,,most,19,4.825733333333333,,60
orange,,some,19,4.825733333333333,,25
blue,,most,19,4.825733333333333,,75
orange,,some,19,4.825733333333333,,40
blue,,most,19,4.825733333333333,,90
orange,,most,19,4.825733333333333,,90
blue,,all,19,4.825733333333333,,100
orange,,most,19,4.825733333333333,,60
blue,,most,19,4.825733333333333,,75
orange,,all,19,4.825733333333333,,100
blue,,some,19,4.825733333333333,,10
orange,,most,19,4.825733333333333,,60
blue,,most,19,4.825733333333333,,60
orange,,most,19,4.825733333333333,,60
blue,,most,19,4.825733333333333,,90
orange,,some,19,4.825733333333333,,50
blue,,none,19,4.825733333333333,,0
orange,,some,19,4.825733333333333,,50
blue,,most,19,4.825733333333333,,60
orange,,some,19,4.825733333333333,,50
blue,,most,19,4.825733333333333,,60
orange,,most,19,4.825733333333333,,90
blue,,all,19,4.825733333333333,,100
orange,,few,19,4.825733333333333,,10
blue,,all,19,4.825733333333333,,100
orange,,all,19,4.825733333333333,,100
blue,,all,19,4.825733333333333,,100
orange,,none,19,4.825733333333333,,0
orange,,some,20,4.02895,,60
blue,,some,20,4.02895,,25
orange,,some,20,4.02895,,50
blue,,all,20,4.02895,,100
orange,,some,20,4.02895,,10
blue,,some,20,4.02895,,50
orange,,none,20,4.02895,,0
blue,,blue,20,4.02895,,100
orange,,some,20,4.02895,,50
