Answer.misread_instructions,proportion,sentence,quantifier,rating,Answer.condition,trial,Answer.time_in_minutes,workerid
,100,... most of the gumballs.,most,0,,1,4.173233333333333,0
,100,... some of the gumballs.,some,0,,1,4.173233333333333,0
,100,... all of the gumballs.,all,1,,1,4.173233333333333,0
,100,,other,0,,1,4.173233333333333,0
,75,... most of the gumballs.,most,0.99,,2,4.173233333333333,0
,75,... some of the gumballs.,some,0.010000000000000009,,2,4.173233333333333,0
,75,... all of the gumballs.,all,0,,2,4.173233333333333,0
,75,,other,0,,2,4.173233333333333,0
,25,... most of the gumballs.,most,0,,3,4.173233333333333,0
,25,... some of the gumballs.,some,1,,3,4.173233333333333,0
,25,... all of the gumballs.,all,0,,3,4.173233333333333,0
,25,,other,0,,3,4.173233333333333,0
,10,... most of the gumballs.,most,0,,4,4.173233333333333,0
,10,... some of the gumballs.,some,0.98,,4,4.173233333333333,0
,10,... all of the gumballs.,all,0,,4,4.173233333333333,0
,10,,other,0.02000000000000013,,4,4.173233333333333,0
,40,... most of the gumballs.,most,0,,5,4.173233333333333,0
,40,... some of the gumballs.,some,1,,5,4.173233333333333,0
,40,... all of the gumballs.,all,0,,5,4.173233333333333,0
,40,,other,0,,5,4.173233333333333,0
,25,... most of the gumballs.,most,0,,6,4.173233333333333,0
,25,... some of the gumballs.,some,0.85,,6,4.173233333333333,0
,25,... all of the gumballs.,all,0,,6,4.173233333333333,0
,25,,other,0.15000000000000013,,6,4.173233333333333,0
,50,... most of the gumballs.,most,0.01,,7,4.173233333333333,0
,50,... some of the gumballs.,some,0.99,,7,4.173233333333333,0
,50,... all of the gumballs.,all,0,,7,4.173233333333333,0
,50,,other,0,,7,4.173233333333333,0
,60,... most of the gumballs.,most,0.92,,8,4.173233333333333,0
,60,... some of the gumballs.,some,0.07999999999999985,,8,4.173233333333333,0
,60,... all of the gumballs.,all,0,,8,4.173233333333333,0
,60,,other,0,,8,4.173233333333333,0
,90,... most of the gumballs.,most,1,,9,4.173233333333333,0
,90,... some of the gumballs.,some,0,,9,4.173233333333333,0
,90,... all of the gumballs.,all,0,,9,4.173233333333333,0
,90,,other,0,,9,4.173233333333333,0
,10,... most of the gumballs.,most,0,,10,4.173233333333333,0
,10,... some of the gumballs.,some,0.78,,10,4.173233333333333,0
,10,... all of the gumballs.,all,0,,10,4.173233333333333,0
,10,,other,0.21999999999999997,,10,4.173233333333333,0
,60,... most of the gumballs.,most,0.76,,11,4.173233333333333,0
,60,... some of the gumballs.,some,0.24,,11,4.173233333333333,0
,60,... all of the gumballs.,all,0,,11,4.173233333333333,0
,60,,other,0,,11,4.173233333333333,0
,50,... most of the gumballs.,most,0.61,,12,4.173233333333333,0
,50,... some of the gumballs.,some,0.3899999999999999,,12,4.173233333333333,0
,50,... all of the gumballs.,all,0,,12,4.173233333333333,0
,50,,other,0,,12,4.173233333333333,0
,75,... most of the gumballs.,most,1,,13,4.173233333333333,0
,75,... some of the gumballs.,some,0,,13,4.173233333333333,0
,75,... all of the gumballs.,all,0,,13,4.173233333333333,0
,75,,other,0,,13,4.173233333333333,0
,100,... most of the gumballs.,most,0,,14,4.173233333333333,0
,100,... some of the gumballs.,some,0,,14,4.173233333333333,0
,100,... all of the gumballs.,all,1,,14,4.173233333333333,0
,100,,other,0,,14,4.173233333333333,0
,90,... most of the gumballs.,most,1,,15,4.173233333333333,0
,90,... some of the gumballs.,some,0,,15,4.173233333333333,0
,90,... all of the gumballs.,all,0,,15,4.173233333333333,0
,90,,other,0,,15,4.173233333333333,0
,40,... most of the gumballs.,most,0,,16,4.173233333333333,0
,40,... some of the gumballs.,some,1,,16,4.173233333333333,0
,40,... all of the gumballs.,all,0,,16,4.173233333333333,0
,40,,other,0,,16,4.173233333333333,0
,25,... all of the gumballs.,all,0,,1,7.3968,1
,25,... most of the gumballs.,most,0,,1,7.3968,1
,25,... some of the gumballs.,some,1,,1,7.3968,1
,25,,other,0,,1,7.3968,1
,100,... all of the gumballs.,all,0.9,,2,7.3968,1
,100,... most of the gumballs.,most,0,,2,7.3968,1
,100,... some of the gumballs.,some,0.09999999999999998,,2,7.3968,1
,100,,other,0,,2,7.3968,1
,40,... all of the gumballs.,all,0,,3,7.3968,1
,40,... most of the gumballs.,most,0.11,,3,7.3968,1
,40,... some of the gumballs.,some,0.8899999999999999,,3,7.3968,1
,40,,other,0,,3,7.3968,1
,50,... all of the gumballs.,all,0,,4,7.3968,1
,50,... most of the gumballs.,most,0.2499999999999999,,4,7.3968,1
,50,... some of the gumballs.,some,0.75,,4,7.3968,1
,50,,other,0,,4,7.3968,1
