Answer.bonus,trial,color,workerid,init_images,percentage,type,utterance_label,label,Answer.condition,clicked,Answer.time_in_minutes,block,block_trial,utterance,position
332,1,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,25_60_2,prior,target,some,1,10.196216666666666,1,1, The machine dispensed,1
332,1,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,25_60_2,prior,competitor,some,0,10.196216666666666,1,1, The machine dispensed,2
332,1,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,25_60_2,quantifier,target,some,0,10.196216666666666,1,1, The machine dispensed some of the,1
332,1,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,25_60_2,quantifier,competitor,some,1,10.196216666666666,1,1, The machine dispensed some of the,2
332,1,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,25_60_2,color,target,some,1,10.196216666666666,1,1, The machine dispensed some of the orange ones.,1
332,1,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,25_60_2,color,competitor,some,0,10.196216666666666,1,1, The machine dispensed some of the orange ones.,2
332,2,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,prior,competitor,some,1,10.196216666666666,1,2, The machine dispensed,1
332,2,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,prior,target,some,0,10.196216666666666,1,2, The machine dispensed,2
332,2,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,quantifier,competitor,some,0,10.196216666666666,1,2, The machine dispensed none of the,1
332,2,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,quantifier,target,some,1,10.196216666666666,1,2, The machine dispensed none of the,2
332,2,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,color,competitor,some,0,10.196216666666666,1,2, The machine dispensed none of the orange ones.,1
332,2,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,color,target,some,1,10.196216666666666,1,2, The machine dispensed none of the orange ones.,2
332,3,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,prior,target,some,1,10.196216666666666,1,3, The machine dispensed,1
332,3,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,prior,competitor,some,0,10.196216666666666,1,3, The machine dispensed,2
332,3,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,quantifier,target,some,1,10.196216666666666,1,3, The machine dispensed some of the,1
332,3,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,quantifier,competitor,some,0,10.196216666666666,1,3, The machine dispensed some of the,2
332,3,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,color,target,some,1,10.196216666666666,1,3, The machine dispensed some of the blue ones.,1
332,3,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,color,competitor,some,0,10.196216666666666,1,3, The machine dispensed some of the blue ones.,2
332,4,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_1,prior,target,some,0,10.196216666666666,1,4, The machine dispensed,1
332,4,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_1,prior,competitor,some,1,10.196216666666666,1,4, The machine dispensed,2
332,4,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_1,quantifier,target,some,1,10.196216666666666,1,4, The machine dispensed some of the,1
332,4,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_1,quantifier,competitor,some,0,10.196216666666666,1,4, The machine dispensed some of the,2
332,4,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_1,color,target,some,1,10.196216666666666,1,4, The machine dispensed some of the blue ones.,1
332,4,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_1,color,competitor,some,0,10.196216666666666,1,4, The machine dispensed some of the blue ones.,2
332,5,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_2,prior,competitor,some,0,10.196216666666666,1,5, The machine dispensed,1
332,5,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_2,prior,target,some,1,10.196216666666666,1,5, The machine dispensed,2
332,5,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_2,quantifier,competitor,some,0,10.196216666666666,1,5, The machine dispensed most of the,1
332,5,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_2,quantifier,target,some,1,10.196216666666666,1,5, The machine dispensed most of the,2
332,5,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_2,color,competitor,some,0,10.196216666666666,1,5, The machine dispensed most of the blue ones.,1
332,5,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_2,color,target,some,1,10.196216666666666,1,5, The machine dispensed most of the blue ones.,2
