clicked,Answer.time_in_minutes,percentage,block,utterance,label,type,Answer.condition,utterance_label,Answer.bonus,trial,workerid,init_images,color,position,block_trial
1,4.0892333333333335,75,1, The machine dispensed,target,75_100_1,many_some,prior,224,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,1
0,4.0892333333333335,100,1, The machine dispensed,competitor,75_100_1,many_some,prior,224,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,1
0,4.0892333333333335,75,1, The machine dispensed many of the,target,75_100_1,many_some,quantifier,224,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,1
1,4.0892333333333335,100,1, The machine dispensed many of the,competitor,75_100_1,many_some,quantifier,224,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,1
1,4.0892333333333335,75,1, The machine dispensed many of the blue ones.,target,75_100_1,many_some,color,224,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,1
0,4.0892333333333335,100,1, The machine dispensed many of the blue ones.,competitor,75_100_1,many_some,color,224,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,1
1,4.0892333333333335,60,1, The machine dispensed,competitor,60_90_2,many_some,prior,224,2,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,2
0,4.0892333333333335,90,1, The machine dispensed,target,60_90_2,many_some,prior,224,2,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,2
0,4.0892333333333335,60,1, The machine dispensed many of the,competitor,60_90_2,many_some,quantifier,224,2,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,2
1,4.0892333333333335,90,1, The machine dispensed many of the,target,60_90_2,many_some,quantifier,224,2,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,2
0,4.0892333333333335,60,1, The machine dispensed many of the blue ones.,competitor,60_90_2,many_some,color,224,2,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,2
1,4.0892333333333335,90,1, The machine dispensed many of the blue ones.,target,60_90_2,many_some,color,224,2,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,2
1,4.0892333333333335,25,1, The machine dispensed,target,25_60_1,many_some,prior,224,3,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,3
0,4.0892333333333335,60,1, The machine dispensed,competitor,25_60_1,many_some,prior,224,3,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,3
0,4.0892333333333335,25,1, The machine dispensed some of the,target,25_60_1,many_some,quantifier,224,3,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,3
1,4.0892333333333335,60,1, The machine dispensed some of the,competitor,25_60_1,many_some,quantifier,224,3,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,3
0,4.0892333333333335,25,1, The machine dispensed some of the orange ones.,target,25_60_1,many_some,color,224,3,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,3
1,4.0892333333333335,60,1, The machine dispensed some of the orange ones.,competitor,25_60_1,many_some,color,224,3,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,3
1,4.0892333333333335,60,1, The machine dispensed,target,25_60_2,many_some,prior,224,4,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,4
0,4.0892333333333335,25,1, The machine dispensed,competitor,25_60_2,many_some,prior,224,4,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,4
1,4.0892333333333335,60,1, The machine dispensed some of the,target,25_60_2,many_some,quantifier,224,4,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,4
0,4.0892333333333335,25,1, The machine dispensed some of the,competitor,25_60_2,many_some,quantifier,224,4,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,4
1,4.0892333333333335,60,1, The machine dispensed some of the blue ones.,target,25_60_2,many_some,color,224,4,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,4
0,4.0892333333333335,25,1, The machine dispensed some of the blue ones.,competitor,25_60_2,many_some,color,224,4,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,4
1,4.0892333333333335,0,1, The machine dispensed,competitor,90_0_1,many_some,prior,224,5,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
0,4.0892333333333335,90,1, The machine dispensed,target,90_0_1,many_some,prior,224,5,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
