trial,color,block_trial,clicked,utterance,type,Answer.condition,position,Answer.time_in_minutes,Answer.bonus,label,utterance_label,init_images,workerid,block,percentage
1,orange,1,1, The machine dispensed,60_90_1,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,90
1,blue,1,0, The machine dispensed,60_90_1,many_many,2,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
1,orange,1,1, The machine dispensed many of the,60_90_1,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,90
1,blue,1,0, The machine dispensed many of the,60_90_1,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
1,orange,1,0, The machine dispensed many of the blue ones.,60_90_1,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,90
1,blue,1,1, The machine dispensed many of the blue ones.,60_90_1,many_many,2,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
2,orange,2,0, The machine dispensed,25_60_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
2,blue,2,1, The machine dispensed,25_60_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
2,orange,2,1, The machine dispensed some of the,25_60_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
2,blue,2,0, The machine dispensed some of the,25_60_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
2,orange,2,1, The machine dispensed some of the orange ones.,25_60_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
2,blue,2,0, The machine dispensed some of the orange ones.,25_60_1,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
3,blue,3,0, The machine dispensed,25_100_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,25
3,orange,3,1, The machine dispensed,25_100_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,100
3,blue,3,1, The machine dispensed some of the,25_100_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,25
3,orange,3,0, The machine dispensed some of the,25_100_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,100
3,blue,3,1, The machine dispensed some of the blue ones.,25_100_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,25
3,orange,3,0, The machine dispensed some of the blue ones.,25_100_1,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,100
4,orange,4,0, The machine dispensed,25_100_2,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
4,blue,4,1, The machine dispensed,25_100_2,many_many,2,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,100
4,orange,4,0, The machine dispensed all of the,25_100_2,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
4,blue,4,1, The machine dispensed all of the,25_100_2,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,100
4,orange,4,0, The machine dispensed all of the blue ones.,25_100_2,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
4,blue,4,1, The machine dispensed all of the blue ones.,25_100_2,many_many,2,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,100
5,orange,5,1, The machine dispensed,40_0_2,many_many,1,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,0
5,blue,5,0, The machine dispensed,40_0_2,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,40
5,orange,5,1, The machine dispensed none of the,40_0_2,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,0
5,blue,5,0, The machine dispensed none of the,40_0_2,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,40
5,orange,5,1, The machine dispensed none of the orange ones.,40_0_2,many_many,1,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,0
5,blue,5,0, The machine dispensed none of the orange ones.,40_0_2,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,40
6,orange,6,1, The machine dispensed,40_0_1,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,0
6,blue,6,0, The machine dispensed,40_0_1,many_many,2,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,40
6,orange,6,0, The machine dispensed some of the,40_0_1,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,0
6,blue,6,1, The machine dispensed some of the,40_0_1,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,40
6,orange,6,0, The machine dispensed some of the blue ones.,40_0_1,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,0
6,blue,6,1, The machine dispensed some of the blue ones.,40_0_1,many_many,2,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,40
7,blue,7,0, The machine dispensed,60_90_2,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,90
7,orange,7,1, The machine dispensed,60_90_2,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,60
7,blue,7,1, The machine dispensed many of the,60_90_2,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,90
7,orange,7,0, The machine dispensed many of the,60_90_2,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,60
7,blue,7,1, The machine dispensed many of the blue ones.,60_90_2,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,90
7,orange,7,0, The machine dispensed many of the blue ones.,60_90_2,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1,60
8,orange,8,0, The machine dispensed,25_60_2,many_many,1,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
8,blue,8,1, The machine dispensed,25_60_2,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
8,orange,8,1, The machine dispensed many of the,25_60_2,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
8,blue,8,0, The machine dispensed many of the,25_60_2,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
8,orange,8,1, The machine dispensed many of the orange ones.,25_60_2,many_many,1,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,60
8,blue,8,0, The machine dispensed many of the orange ones.,25_60_2,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1,25
9,blue,1,1, The machine dispensed,25_100_2,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,100
9,orange,1,0, The machine dispensed,25_100_2,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,25
9,blue,1,1, The machine dispensed all of the,25_100_2,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,100
9,orange,1,0, The machine dispensed all of the,25_100_2,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,25
9,blue,1,1, The machine dispensed all of the blue ones.,25_100_2,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,100
9,orange,1,0, The machine dispensed all of the blue ones.,25_100_2,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,25
10,blue,2,0, The machine dispensed,60_90_2,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,60
10,orange,2,1, The machine dispensed,60_90_2,many_many,2,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,90
10,blue,2,0, The machine dispensed many of the,60_90_2,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,60
10,orange,2,1, The machine dispensed many of the,60_90_2,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,90
10,blue,2,0, The machine dispensed many of the orange ones.,60_90_2,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,60
10,orange,2,1, The machine dispensed many of the orange ones.,60_90_2,many_many,2,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,90
11,blue,3,0, The machine dispensed,25_100_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,25
11,orange,3,1, The machine dispensed,25_100_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,100
11,blue,3,1, The machine dispensed some of the,25_100_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,25
11,orange,3,0, The machine dispensed some of the,25_100_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,100
11,blue,3,1, The machine dispensed some of the blue ones.,25_100_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,25
11,orange,3,0, The machine dispensed some of the blue ones.,25_100_1,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,100
12,orange,4,1, The machine dispensed,25_60_2,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,25
12,blue,4,0, The machine dispensed,25_60_2,many_many,2,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,60
12,orange,4,0, The machine dispensed many of the,25_60_2,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,25
12,blue,4,1, The machine dispensed many of the,25_60_2,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,60
12,orange,4,0, The machine dispensed many of the blue ones.,25_60_2,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,25
12,blue,4,1, The machine dispensed many of the blue ones.,25_60_2,many_many,2,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,60
