position,color,type,Answer.condition,block_trial,trial,utterance_label,block,clicked,utterance,workerid,init_images,Answer.bonus,label,Answer.time_in_minutes,quantifier,percentage
1,blue,0_100_2,some,1,1,prior,0,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,all,100
2,orange,0_100_2,some,1,1,prior,0,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,all,0
1,blue,0_100_2,some,1,1,quantifier,0,1, The machine dispensed all of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,all,100
2,orange,0_100_2,some,1,1,quantifier,0,0, The machine dispensed all of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,all,0
1,blue,0_100_2,some,1,1,color,0,1, The machine dispensed all of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,all,100
2,orange,0_100_2,some,1,1,color,0,0, The machine dispensed all of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,all,0
1,blue,0_100_1,some,2,2,prior,0,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,0_100_1,some,2,2,prior,0,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,100
1,blue,0_100_1,some,2,2,quantifier,0,0, The machine dispensed none of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,0_100_1,some,2,2,quantifier,0,1, The machine dispensed none of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,100
1,blue,0_100_1,some,2,2,color,0,0, The machine dispensed none of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,0_100_1,some,2,2,color,0,1, The machine dispensed none of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,100
1,orange,0_100_2,some,3,3,prior,0,0, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,all,0
2,blue,0_100_2,some,3,3,prior,0,1, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,all,100
1,orange,0_100_2,some,3,3,quantifier,0,0, The machine dispensed all of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,all,0
2,blue,0_100_2,some,3,3,quantifier,0,1, The machine dispensed all of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,all,100
1,orange,0_100_2,some,3,3,color,0,0, The machine dispensed all of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,all,0
2,blue,0_100_2,some,3,3,color,0,1, The machine dispensed all of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,all,100
