color,Answer.time_in_minutes,label,quantifier,block_trial,type,Answer.bonus,utterance,position,block,Answer.condition,init_images,utterance_label,trial,percentage,workerid,clicked
orange,8.434883333333334,competitor,none,1,0_100_1,200.5, The machine dispensed,1,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,1,100,0,1
blue,8.434883333333334,target,none,1,0_100_1,200.5, The machine dispensed,2,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,1,0,0,0
orange,8.434883333333334,competitor,none,1,0_100_1,200.5, The machine dispensed none of the,1,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,1,100,0,0
blue,8.434883333333334,target,none,1,0_100_1,200.5, The machine dispensed none of the,2,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,1,0,0,1
orange,8.434883333333334,competitor,none,1,0_100_1,200.5, The machine dispensed none of the blue ones.,1,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,1,100,0,0
blue,8.434883333333334,target,none,1,0_100_1,200.5, The machine dispensed none of the blue ones.,2,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,1,0,0,1
blue,8.434883333333334,target,all,2,0_100_2,200.5, The machine dispensed,1,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,2,100,0,0
orange,8.434883333333334,competitor,all,2,0_100_2,200.5, The machine dispensed,2,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,2,0,0,1
blue,8.434883333333334,target,all,2,0_100_2,200.5, The machine dispensed all of the,1,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,2,100,0,1
orange,8.434883333333334,competitor,all,2,0_100_2,200.5, The machine dispensed all of the,2,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,2,0,0,0
blue,8.434883333333334,target,all,2,0_100_2,200.5, The machine dispensed all of the blue ones.,1,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,2,100,0,1
orange,8.434883333333334,competitor,all,2,0_100_2,200.5, The machine dispensed all of the blue ones.,2,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,2,0,0,0
orange,8.434883333333334,target,all,3,0_100_2,200.5, The machine dispensed,1,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,3,100,0,1
blue,8.434883333333334,competitor,all,3,0_100_2,200.5, The machine dispensed,2,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,3,0,0,0
orange,8.434883333333334,target,all,3,0_100_2,200.5, The machine dispensed all of the,1,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,3,100,0,1
blue,8.434883333333334,competitor,all,3,0_100_2,200.5, The machine dispensed all of the,2,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,3,0,0,0
orange,8.434883333333334,target,all,3,0_100_2,200.5, The machine dispensed all of the orange ones.,1,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,3,100,0,1
blue,8.434883333333334,competitor,all,3,0_100_2,200.5, The machine dispensed all of the orange ones.,2,0,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,3,0,0,0
blue,8.434883333333334,target,none,4,0_100_1,200.5, The machine dispensed,1,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,4,0,0,0
orange,8.434883333333334,competitor,none,4,0_100_1,200.5, The machine dispensed,2,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,4,100,0,1
blue,8.434883333333334,target,none,4,0_100_1,200.5, The machine dispensed none of the,1,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,4,0,0,1
orange,8.434883333333334,competitor,none,4,0_100_1,200.5, The machine dispensed none of the,2,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,4,100,0,0
blue,8.434883333333334,target,none,4,0_100_1,200.5, The machine dispensed none of the blue ones.,1,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,4,0,0,1
orange,8.434883333333334,competitor,none,4,0_100_1,200.5, The machine dispensed none of the blue ones.,2,0,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,4,100,0,0
orange,8.434883333333334,target,many,1,75_100_1,200.5, The machine dispensed,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,5,75,0,1
blue,8.434883333333334,competitor,many,1,75_100_1,200.5, The machine dispensed,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,5,100,0,0
orange,8.434883333333334,target,many,1,75_100_1,200.5, The machine dispensed many of the,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,5,75,0,1
blue,8.434883333333334,competitor,many,1,75_100_1,200.5, The machine dispensed many of the,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,5,100,0,0
