clicked,color,utterance_label,type,quantifier,Answer.time_in_minutes,Answer.bonus,Answer.condition,block,percentage,workerid,label,block_trial,position,trial,utterance,init_images
1,blue,prior,0_100_2,all,9.35665,204,most,0,100,0,target,1,1,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,0_100_2,all,9.35665,204,most,0,0,0,competitor,1,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,0_100_2,all,9.35665,204,most,0,100,0,target,1,1,1, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,0_100_2,all,9.35665,204,most,0,0,0,competitor,1,2,1, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,0_100_2,all,9.35665,204,most,0,100,0,target,1,1,1, The machine dispensed all of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,0_100_2,all,9.35665,204,most,0,0,0,competitor,1,2,1, The machine dispensed all of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,prior,0_100_1,none,9.35665,204,most,0,0,0,target,2,1,2, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,0_100_1,none,9.35665,204,most,0,100,0,competitor,2,2,2, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,quantifier,0_100_1,none,9.35665,204,most,0,0,0,target,2,1,2, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,quantifier,0_100_1,none,9.35665,204,most,0,100,0,competitor,2,2,2, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,color,0_100_1,none,9.35665,204,most,0,0,0,target,2,1,2, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,color,0_100_1,none,9.35665,204,most,0,100,0,competitor,2,2,2, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,prior,0_100_2,all,9.35665,204,most,0,100,0,target,3,1,3, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,0_100_2,all,9.35665,204,most,0,0,0,competitor,3,2,3, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,0_100_2,all,9.35665,204,most,0,100,0,target,3,1,3, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,0_100_2,all,9.35665,204,most,0,0,0,competitor,3,2,3, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,0_100_2,all,9.35665,204,most,0,100,0,target,3,1,3, The machine dispensed all of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,0_100_2,all,9.35665,204,most,0,0,0,competitor,3,2,3, The machine dispensed all of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,prior,0_100_1,none,9.35665,204,most,0,100,0,competitor,4,1,4, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,0_100_1,none,9.35665,204,most,0,0,0,target,4,2,4, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,0_100_1,none,9.35665,204,most,0,100,0,competitor,4,1,4, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,0_100_1,none,9.35665,204,most,0,0,0,target,4,2,4, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,color,0_100_1,none,9.35665,204,most,0,100,0,competitor,4,1,4, The machine dispensed none of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,color,0_100_1,none,9.35665,204,most,0,0,0,target,4,2,4, The machine dispensed none of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,prior,60_90_2,most,9.35665,204,most,1,60,0,competitor,1,1,5, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,60_90_2,most,9.35665,204,most,1,90,0,target,1,2,5, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,quantifier,60_90_2,most,9.35665,204,most,1,60,0,competitor,1,1,5, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,quantifier,60_90_2,most,9.35665,204,most,1,90,0,target,1,2,5, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,color,60_90_2,most,9.35665,204,most,1,60,0,competitor,1,1,5, The machine dispensed most of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,color,60_90_2,most,9.35665,204,most,1,90,0,target,1,2,5, The machine dispensed most of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,25_60_2,most,9.35665,204,most,1,60,0,target,2,1,6, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,25_60_2,most,9.35665,204,most,1,25,0,competitor,2,2,6, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,quantifier,25_60_2,most,9.35665,204,most,1,60,0,target,2,1,6, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,quantifier,25_60_2,most,9.35665,204,most,1,25,0,competitor,2,2,6, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,color,25_60_2,most,9.35665,204,most,1,60,0,target,2,1,6, The machine dispensed most of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,color,25_60_2,most,9.35665,204,most,1,25,0,competitor,2,2,6, The machine dispensed most of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,25_60_1,some,9.35665,204,most,1,25,0,target,3,1,7, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,25_60_1,some,9.35665,204,most,1,60,0,competitor,3,2,7, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,quantifier,25_60_1,some,9.35665,204,most,1,25,0,target,3,1,7, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,quantifier,25_60_1,some,9.35665,204,most,1,60,0,competitor,3,2,7, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,25_60_1,some,9.35665,204,most,1,25,0,target,3,1,7, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,25_60_1,some,9.35665,204,most,1,60,0,competitor,3,2,7, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
