type,trial,workerid,quantifier,block,color,Answer.time_in_minutes,Answer.bonus,label,utterance,block_trial,Answer.condition,position,utterance_label,init_images,percentage,clicked
0_100_1,1,0,none,0,orange,6.815383333333333,191.5,competitor, The machine dispensed,1,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,1
0_100_1,1,0,none,0,blue,6.815383333333333,191.5,target, The machine dispensed,1,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
0_100_1,1,0,none,0,orange,6.815383333333333,191.5,competitor, The machine dispensed none of the,1,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
0_100_1,1,0,none,0,blue,6.815383333333333,191.5,target, The machine dispensed none of the,1,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
0_100_1,1,0,none,0,orange,6.815383333333333,191.5,competitor, The machine dispensed none of the blue ones.,1,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
0_100_1,1,0,none,0,blue,6.815383333333333,191.5,target, The machine dispensed none of the blue ones.,1,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
0_100_2,2,0,all,0,blue,6.815383333333333,191.5,target, The machine dispensed,2,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,0
0_100_2,2,0,all,0,orange,6.815383333333333,191.5,competitor, The machine dispensed,2,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
0_100_2,2,0,all,0,blue,6.815383333333333,191.5,target, The machine dispensed all of the,2,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
0_100_2,2,0,all,0,orange,6.815383333333333,191.5,competitor, The machine dispensed all of the,2,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
0_100_2,2,0,all,0,blue,6.815383333333333,191.5,target, The machine dispensed all of the blue ones.,2,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
0_100_2,2,0,all,0,orange,6.815383333333333,191.5,competitor, The machine dispensed all of the blue ones.,2,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
0_100_2,3,0,all,0,blue,6.815383333333333,191.5,target, The machine dispensed,3,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
0_100_2,3,0,all,0,orange,6.815383333333333,191.5,competitor, The machine dispensed,3,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
0_100_2,3,0,all,0,blue,6.815383333333333,191.5,target, The machine dispensed all of the,3,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
0_100_2,3,0,all,0,orange,6.815383333333333,191.5,competitor, The machine dispensed all of the,3,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
0_100_2,3,0,all,0,blue,6.815383333333333,191.5,target, The machine dispensed all of the blue ones.,3,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
0_100_2,3,0,all,0,orange,6.815383333333333,191.5,competitor, The machine dispensed all of the blue ones.,3,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
0_100_1,4,0,none,0,orange,6.815383333333333,191.5,target, The machine dispensed,4,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
0_100_1,4,0,none,0,blue,6.815383333333333,191.5,competitor, The machine dispensed,4,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
0_100_1,4,0,none,0,orange,6.815383333333333,191.5,target, The machine dispensed none of the,4,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
0_100_1,4,0,none,0,blue,6.815383333333333,191.5,competitor, The machine dispensed none of the,4,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
0_100_1,4,0,none,0,orange,6.815383333333333,191.5,target, The machine dispensed none of the orange ones.,4,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
0_100_1,4,0,none,0,blue,6.815383333333333,191.5,competitor, The machine dispensed none of the orange ones.,4,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
50_90_2,5,0,many,1,orange,6.815383333333333,191.5,competitor, The machine dispensed,1,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
50_90_2,5,0,many,1,blue,6.815383333333333,191.5,target, The machine dispensed,1,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
50_90_2,5,0,many,1,orange,6.815383333333333,191.5,competitor, The machine dispensed many of the,1,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
50_90_2,5,0,many,1,blue,6.815383333333333,191.5,target, The machine dispensed many of the,1,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
