workerid,Answer.time_in_minutes,position,Answer.bonus,init_images,block,utterance_label,block_trial,quantifier,color,trial,clicked,type,percentage,utterance,label,Answer.condition
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,prior,1,all,blue,1,0,0_100_2,0, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,prior,1,all,orange,1,1,0_100_2,100, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,quantifier,1,all,blue,1,0,0_100_2,0, The machine dispensed all of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,quantifier,1,all,orange,1,1,0_100_2,100, The machine dispensed all of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,color,1,all,blue,1,0,0_100_2,0, The machine dispensed all of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,color,1,all,orange,1,1,0_100_2,100, The machine dispensed all of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,prior,2,none,blue,2,1,0_100_1,100, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,prior,2,none,orange,2,0,0_100_1,0, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,quantifier,2,none,blue,2,0,0_100_1,100, The machine dispensed none of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,quantifier,2,none,orange,2,1,0_100_1,0, The machine dispensed none of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,color,2,none,blue,2,0,0_100_1,100, The machine dispensed none of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,color,2,none,orange,2,1,0_100_1,0, The machine dispensed none of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,prior,3,none,blue,3,1,0_100_1,100, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,prior,3,none,orange,3,0,0_100_1,0, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,quantifier,3,none,blue,3,0,0_100_1,100, The machine dispensed none of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,quantifier,3,none,orange,3,1,0_100_1,0, The machine dispensed none of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,color,3,none,blue,3,0,0_100_1,100, The machine dispensed none of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,color,3,none,orange,3,1,0_100_1,0, The machine dispensed none of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,prior,4,all,orange,4,1,0_100_2,100, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,prior,4,all,blue,4,0,0_100_2,0, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,quantifier,4,all,orange,4,1,0_100_2,100, The machine dispensed all of the,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,quantifier,4,all,blue,4,0,0_100_2,0, The machine dispensed all of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,color,4,all,orange,4,1,0_100_2,100, The machine dispensed all of the orange ones.,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,color,4,all,blue,4,0,0_100_2,0, The machine dispensed all of the orange ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,1,many,blue,5,1,50_90_2,90, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,1,many,orange,5,0,50_90_2,50, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,1,many,blue,5,1,50_90_2,90, The machine dispensed many of the,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,1,many,orange,5,0,50_90_2,50, The machine dispensed many of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,1,many,blue,5,1,50_90_2,90, The machine dispensed many of the blue ones.,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,1,many,orange,5,0,50_90_2,50, The machine dispensed many of the blue ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,2,none,blue,6,1,40_0_2,40, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,2,none,orange,6,0,40_0_2,0, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,2,none,blue,6,0,40_0_2,40, The machine dispensed none of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,2,none,orange,6,1,40_0_2,0, The machine dispensed none of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,2,none,blue,6,0,40_0_2,40, The machine dispensed none of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,2,none,orange,6,1,40_0_2,0, The machine dispensed none of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,3,many,blue,7,1,50_90_1,50, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,3,many,orange,7,0,50_90_1,90, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,3,many,blue,7,0,50_90_1,50, The machine dispensed many of the,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,3,many,orange,7,1,50_90_1,90, The machine dispensed many of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,3,many,blue,7,0,50_90_1,50, The machine dispensed many of the blue ones.,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,3,many,orange,7,1,50_90_1,90, The machine dispensed many of the blue ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,prior,4,some,orange,8,1,25_100_1,25, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,prior,4,some,blue,8,0,25_100_1,100, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,quantifier,4,some,orange,8,1,25_100_1,25, The machine dispensed some of the,target,many_many
