percentage,quantifier,Answer.bonus,trial,utterance,utterance_label,color,Answer.condition,block,label,clicked,type,position,Answer.time_in_minutes,block_trial,init_images,workerid
0,all,187,1, The machine dispensed all of the,quantifier,orange,most,0,competitor,0,0_100_2,1,6.5998833333333335,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,187,1, The machine dispensed all of the,quantifier,blue,most,0,target,1,0_100_2,2,6.5998833333333335,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,all,187,1, The machine dispensed all of the blue ones.,color,orange,most,0,competitor,0,0_100_2,1,6.5998833333333335,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,187,1, The machine dispensed all of the blue ones.,color,blue,most,0,target,1,0_100_2,2,6.5998833333333335,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,none,187,2, The machine dispensed none of the,quantifier,blue,most,0,competitor,0,0_100_1,1,6.5998833333333335,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,187,2, The machine dispensed none of the,quantifier,orange,most,0,target,1,0_100_1,2,6.5998833333333335,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,none,187,2, The machine dispensed none of the orange ones.,color,blue,most,0,competitor,0,0_100_1,1,6.5998833333333335,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,187,2, The machine dispensed none of the orange ones.,color,orange,most,0,target,1,0_100_1,2,6.5998833333333335,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,187,3, The machine dispensed none of the,quantifier,blue,most,0,target,1,0_100_1,1,6.5998833333333335,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,none,187,3, The machine dispensed none of the,quantifier,orange,most,0,competitor,0,0_100_1,2,6.5998833333333335,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,187,3, The machine dispensed none of the blue ones.,color,blue,most,0,target,1,0_100_1,1,6.5998833333333335,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,none,187,3, The machine dispensed none of the blue ones.,color,orange,most,0,competitor,0,0_100_1,2,6.5998833333333335,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,all,187,4, The machine dispensed all of the,quantifier,orange,most,0,competitor,0,0_100_2,1,6.5998833333333335,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,187,4, The machine dispensed all of the,quantifier,blue,most,0,target,1,0_100_2,2,6.5998833333333335,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,all,187,4, The machine dispensed all of the blue ones.,color,orange,most,0,competitor,0,0_100_2,1,6.5998833333333335,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,187,4, The machine dispensed all of the blue ones.,color,blue,most,0,target,1,0_100_2,2,6.5998833333333335,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,none,187,5, The machine dispensed none of the,quantifier,blue,most,1,target,1,40_0_2,1,6.5998833333333335,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
40,none,187,5, The machine dispensed none of the,quantifier,orange,most,1,competitor,0,40_0_2,2,6.5998833333333335,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,187,5, The machine dispensed none of the blue ones.,color,blue,most,1,target,1,40_0_2,1,6.5998833333333335,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
40,none,187,5, The machine dispensed none of the blue ones.,color,orange,most,1,competitor,0,40_0_2,2,6.5998833333333335,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
40,some,187,6, The machine dispensed some of the,quantifier,orange,most,1,target,1,40_0_1,1,6.5998833333333335,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,some,187,6, The machine dispensed some of the,quantifier,blue,most,1,competitor,0,40_0_1,2,6.5998833333333335,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
40,some,187,6, The machine dispensed some of the orange ones.,color,orange,most,1,target,1,40_0_1,1,6.5998833333333335,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,some,187,6, The machine dispensed some of the orange ones.,color,blue,most,1,competitor,0,40_0_1,2,6.5998833333333335,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,187,7, The machine dispensed some of the,quantifier,orange,most,1,target,1,25_100_1,1,6.5998833333333335,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,some,187,7, The machine dispensed some of the,quantifier,blue,most,1,competitor,0,25_100_1,2,6.5998833333333335,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,187,7, The machine dispensed some of the orange ones.,color,orange,most,1,target,1,25_100_1,1,6.5998833333333335,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,some,187,7, The machine dispensed some of the orange ones.,color,blue,most,1,competitor,0,25_100_1,2,6.5998833333333335,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,most,187,8, The machine dispensed most of the,quantifier,blue,most,1,competitor,0,60_90_2,1,6.5998833333333335,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,187,8, The machine dispensed most of the,quantifier,orange,most,1,target,1,60_90_2,2,6.5998833333333335,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,187,8, The machine dispensed most of the orange ones.,color,blue,most,1,competitor,0,60_90_2,1,6.5998833333333335,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,187,8, The machine dispensed most of the orange ones.,color,orange,most,1,target,1,60_90_2,2,6.5998833333333335,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,187,9, The machine dispensed most of the,quantifier,blue,most,1,target,1,25_60_2,1,6.5998833333333335,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,most,187,9, The machine dispensed most of the,quantifier,orange,most,1,competitor,0,25_60_2,2,6.5998833333333335,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,187,9, The machine dispensed most of the blue ones.,color,blue,most,1,target,1,25_60_2,1,6.5998833333333335,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,most,187,9, The machine dispensed most of the blue ones.,color,orange,most,1,competitor,0,25_60_2,2,6.5998833333333335,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,187,10, The machine dispensed some of the,quantifier,orange,most,1,target,1,25_60_1,1,6.5998833333333335,6,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,187,10, The machine dispensed some of the,quantifier,blue,most,1,competitor,0,25_60_1,2,6.5998833333333335,6,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,187,10, The machine dispensed some of the orange ones.,color,orange,most,1,target,1,25_60_1,1,6.5998833333333335,6,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,187,10, The machine dispensed some of the orange ones.,color,blue,most,1,competitor,0,25_60_1,2,6.5998833333333335,6,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,187,11, The machine dispensed all of the,quantifier,orange,most,1,target,1,25_100_2,1,6.5998833333333335,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,all,187,11, The machine dispensed all of the,quantifier,blue,most,1,competitor,0,25_100_2,2,6.5998833333333335,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,187,11, The machine dispensed all of the orange ones.,color,orange,most,1,target,1,25_100_2,1,6.5998833333333335,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,all,187,11, The machine dispensed all of the orange ones.,color,blue,most,1,competitor,0,25_100_2,2,6.5998833333333335,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,187,12, The machine dispensed most of the,quantifier,orange,most,1,competitor,1,60_90_1,1,6.5998833333333335,8,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,most,187,12, The machine dispensed most of the,quantifier,blue,most,1,target,0,60_90_1,2,6.5998833333333335,8,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,187,12, The machine dispensed most of the blue ones.,color,orange,most,1,competitor,1,60_90_1,1,6.5998833333333335,8,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,most,187,12, The machine dispensed most of the blue ones.,color,blue,most,1,target,0,60_90_1,2,6.5998833333333335,8,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,most,187,13, The machine dispensed most of the,quantifier,blue,most,2,competitor,0,25_60_2,1,6.5998833333333335,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,187,13, The machine dispensed most of the,quantifier,orange,most,2,target,1,25_60_2,2,6.5998833333333335,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,most,187,13, The machine dispensed most of the orange ones.,color,blue,most,2,competitor,0,25_60_2,1,6.5998833333333335,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,187,13, The machine dispensed most of the orange ones.,color,orange,most,2,target,1,25_60_2,2,6.5998833333333335,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,some,187,14, The machine dispensed some of the,quantifier,orange,most,2,competitor,0,25_100_1,1,6.5998833333333335,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,187,14, The machine dispensed some of the,quantifier,blue,most,2,target,1,25_100_1,2,6.5998833333333335,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,some,187,14, The machine dispensed some of the blue ones.,color,orange,most,2,competitor,0,25_100_1,1,6.5998833333333335,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,187,14, The machine dispensed some of the blue ones.,color,blue,most,2,target,1,25_100_1,2,6.5998833333333335,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,187,15, The machine dispensed all of the,quantifier,orange,most,2,target,1,25_100_2,1,6.5998833333333335,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,all,187,15, The machine dispensed all of the,quantifier,blue,most,2,competitor,0,25_100_2,2,6.5998833333333335,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,187,15, The machine dispensed all of the orange ones.,color,orange,most,2,target,1,25_100_2,1,6.5998833333333335,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,all,187,15, The machine dispensed all of the orange ones.,color,blue,most,2,competitor,0,25_100_2,2,6.5998833333333335,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,most,187,16, The machine dispensed most of the,quantifier,blue,most,2,competitor,0,60_90_2,1,6.5998833333333335,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,187,16, The machine dispensed most of the,quantifier,orange,most,2,target,1,60_90_2,2,6.5998833333333335,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,187,16, The machine dispensed most of the orange ones.,color,blue,most,2,competitor,0,60_90_2,1,6.5998833333333335,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,187,16, The machine dispensed most of the orange ones.,color,orange,most,2,target,1,60_90_2,2,6.5998833333333335,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,187,17, The machine dispensed some of the,quantifier,orange,most,2,target,0,25_60_1,1,6.5998833333333335,5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,187,17, The machine dispensed some of the,quantifier,blue,most,2,competitor,1,25_60_1,2,6.5998833333333335,5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,187,17, The machine dispensed some of the orange ones.,color,orange,most,2,target,1,25_60_1,1,6.5998833333333335,5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,187,17, The machine dispensed some of the orange ones.,color,blue,most,2,competitor,0,25_60_1,2,6.5998833333333335,5,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,none,187,18, The machine dispensed none of the,quantifier,blue,most,2,target,1,40_0_2,1,6.5998833333333335,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
40,none,187,18, The machine dispensed none of the,quantifier,orange,most,2,competitor,0,40_0_2,2,6.5998833333333335,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,187,18, The machine dispensed none of the blue ones.,color,blue,most,2,target,1,40_0_2,1,6.5998833333333335,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
40,none,187,18, The machine dispensed none of the blue ones.,color,orange,most,2,competitor,0,40_0_2,2,6.5998833333333335,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,some,187,19, The machine dispensed some of the,quantifier,blue,most,2,competitor,0,40_0_1,1,6.5998833333333335,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
40,some,187,19, The machine dispensed some of the,quantifier,orange,most,2,target,1,40_0_1,2,6.5998833333333335,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,some,187,19, The machine dispensed some of the orange ones.,color,blue,most,2,competitor,0,40_0_1,1,6.5998833333333335,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
40,some,187,19, The machine dispensed some of the orange ones.,color,orange,most,2,target,1,40_0_1,2,6.5998833333333335,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,187,20, The machine dispensed most of the,quantifier,blue,most,2,competitor,1,60_90_1,1,6.5998833333333335,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
