quantifier,Answer.time_in_minutes,block_trial,utterance_label,color,type,position,Answer.bonus,label,utterance,trial,Answer.condition,clicked,percentage,init_images,workerid,block
none,1.9411666666666667,1,quantifier,orange,0_100_1,1,12,target, The machine dispensed none of the,1,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
none,1.9411666666666667,1,quantifier,blue,0_100_1,2,12,competitor, The machine dispensed none of the,1,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
none,1.9411666666666667,1,color,orange,0_100_1,1,12,target, The machine dispensed none of the orange ones.,1,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
none,1.9411666666666667,1,color,blue,0_100_1,2,12,competitor, The machine dispensed none of the orange ones.,1,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,1.9411666666666667,2,quantifier,blue,0_100_2,1,12,competitor, The machine dispensed all of the,2,many_most,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
all,1.9411666666666667,2,quantifier,orange,0_100_2,2,12,target, The machine dispensed all of the,2,many_most,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
all,1.9411666666666667,2,color,blue,0_100_2,1,12,competitor, The machine dispensed all of the orange ones.,2,many_most,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
all,1.9411666666666667,2,color,orange,0_100_2,2,12,target, The machine dispensed all of the orange ones.,2,many_most,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
none,1.9411666666666667,3,quantifier,blue,0_100_1,1,12,target, The machine dispensed none of the,3,many_most,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
none,1.9411666666666667,3,quantifier,orange,0_100_1,2,12,competitor, The machine dispensed none of the,3,many_most,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
none,1.9411666666666667,3,color,blue,0_100_1,1,12,target, The machine dispensed none of the blue ones.,3,many_most,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
none,1.9411666666666667,3,color,orange,0_100_1,2,12,competitor, The machine dispensed none of the blue ones.,3,many_most,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
all,1.9411666666666667,4,quantifier,orange,0_100_2,1,12,competitor, The machine dispensed all of the,4,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,1.9411666666666667,4,quantifier,blue,0_100_2,2,12,target, The machine dispensed all of the,4,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,1.9411666666666667,4,color,orange,0_100_2,1,12,competitor, The machine dispensed all of the blue ones.,4,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,1.9411666666666667,4,color,blue,0_100_2,2,12,target, The machine dispensed all of the blue ones.,4,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
none,2.1655,1,quantifier,blue,0_100_1,1,12,competitor, The machine dispensed none of the,1,many_most,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,0
none,2.1655,1,quantifier,orange,0_100_1,2,12,target, The machine dispensed none of the,1,many_most,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,0
none,2.1655,1,color,blue,0_100_1,1,12,competitor, The machine dispensed none of the orange ones.,1,many_most,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,0
none,2.1655,1,color,orange,0_100_1,2,12,target, The machine dispensed none of the orange ones.,1,many_most,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,0
all,2.1655,2,quantifier,orange,0_100_2,1,12,competitor, The machine dispensed all of the,2,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,0
all,2.1655,2,quantifier,blue,0_100_2,2,12,target, The machine dispensed all of the,2,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,0
all,2.1655,2,color,orange,0_100_2,1,12,competitor, The machine dispensed all of the blue ones.,2,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,0
all,2.1655,2,color,blue,0_100_2,2,12,target, The machine dispensed all of the blue ones.,2,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,0
all,2.1655,3,quantifier,blue,0_100_2,1,12,competitor, The machine dispensed all of the,3,many_most,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,0
all,2.1655,3,quantifier,orange,0_100_2,2,12,target, The machine dispensed all of the,3,many_most,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,0
all,2.1655,3,color,blue,0_100_2,1,12,competitor, The machine dispensed all of the orange ones.,3,many_most,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,0
all,2.1655,3,color,orange,0_100_2,2,12,target, The machine dispensed all of the orange ones.,3,many_most,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,0
